Ward Code,Borough,Ward,b_w,All people,White,Mixed,Asian,Black,Chinese/Other,White British,White Irish,White Other White,Mixed White and Black Caribbean,Mixed White and Black African,Mixed White and Asian,Mixed Other Mixed,Asian or Asian British Indian,Asian or Asian British Pakistani,Asian or Asian British Bangladeshi,Asian or Asian British Other Asian,Black or Black British Black Caribbean,Black or Black British Black African,Black or Black British Other Black,Chinese or other ethnic group Chinese,Chinese or other ethnic group Other Ethnic Group,% White,% Mixed,% Asian,% Black,% Chinese/Other,% White British,% White Irish,% White Other White,% Mixed White and Black Caribbean,% Mixed White and Black African,% Mixed White and Asian,% Mixed Other Mixed,% Asian or Asian British Indian,% Asian or Asian British Pakistani,% Asian or Asian British Bangladeshi,% Asian or Asian British Other Asian,% Black or Black British Black Caribbean,% Black or Black British Black African,% Black or Black British Other Black,% Chinese or other ethnic group Chinese,% Chinese or other ethnic group Other Ethnic Group
00ALHD,Greenwich,Shooters Hill,GreenwichShooters Hill,12854,10222,364,1029,1082,157,9509,326,387,145,56,94,69,683,184,42,120,435,569,78,68,89,79.5,2.8,8,8.4,1.2,74,2.5,3,1.1,0.4,0.7,0.5,5.3,1.4,0.3,0.9,3.4,4.4,0.6,0.5,0.7
00ALHE,Greenwich,Thamesmead Moorings,GreenwichThamesmead Moorings,11755,7897,352,645,2458,403,7264,192,441,126,67,55,104,420,42,111,72,451,1909,98,257,146,67.2,3,5.5,20.9,3.4,61.8,1.6,3.8,1.1,0.6,0.5,0.9,3.6,0.4,0.9,0.6,3.8,16.2,0.8,2.2,1.2
00ALHF,Greenwich,Woolwich Common,GreenwichWoolwich Common,14967,8783,530,1987,2929,738,7885,294,604,187,125,104,114,1380,223,133,251,630,2119,180,363,375,58.7,3.5,13.3,19.6,4.9,52.7,2,4,1.2,0.8,0.7,0.8,9.2,1.5,0.9,1.7,4.2,14.2,1.2,2.4,2.5
00ALHG,Greenwich,Woolwich Riverside,GreenwichWoolwich Riverside,12767,8221,478,717,2757,594,7421,292,508,204,74,74,126,286,110,149,172,537,2050,170,257,337,64.4,3.7,5.6,21.6,4.7,58.1,2.3,4,1.6,0.6,0.6,1,2.2,0.9,1.2,1.3,4.2,16.1,1.3,2,2.6
00AMGA,Hackney,Brownswood,HackneyBrownswood,11331,7189,429,878,2401,434,5064,401,1724,123,76,93,137,365,121,279,113,935,1272,194,191,243,63.4,3.8,7.7,21.2,3.8,44.7,3.5,15.2,1.1,0.7,0.8,1.2,3.2,1.1,2.5,1,8.3,11.2,1.7,1.7,2.1
00AMGB,Hackney,Cazenove,HackneyCazenove,10500,6033,395,1723,2055,294,4397,266,1370,127,58,81,129,1092,150,381,100,788,1072,195,61,233,57.5,3.8,16.4,19.6,2.8,41.9,2.5,13,1.2,0.6,0.8,1.2,10.4,1.4,3.6,1,7.5,10.2,1.9,0.6,2.2
00AMGC,Hackney,Chatham,HackneyChatham,10728,5681,498,871,3286,392,4192,319,1170,200,110,72,116,317,121,359,74,1349,1666,271,162,230,53,4.6,8.1,30.6,3.7,39.1,3,10.9,1.9,1,0.7,1.1,3,1.1,3.3,0.7,12.6,15.5,2.5,1.5,2.1
00AMGD,Hackney,Clissold,HackneyClissold,10438,7106,432,747,1949,204,5409,381,1316,119,71,100,142,319,103,258,67,1008,701,240,91,113,68.1,4.1,7.2,18.7,2,51.8,3.7,12.6,1.1,0.7,1,1.4,3.1,1,2.5,0.6,9.7,6.7,2.3,0.9,1.1
00AMGE,Hackney,Dalston,HackneyDalston,10358,5828,400,746,3008,376,4182,327,1319,134,58,93,115,277,101,291,77,1459,1251,298,150,226,56.3,3.9,7.2,29,3.6,40.4,3.2,12.7,1.3,0.6,0.9,1.1,2.7,1,2.8,0.7,14.1,12.1,2.9,1.4,2.2
00AMGF,Hackney,De Beauvoir,HackneyDe Beauvoir,9928,6335,345,498,2412,338,4901,295,1139,104,79,69,93,162,44,226,66,697,1523,192,148,190,63.8,3.5,5,24.3,3.4,49.4,3,11.5,1,0.8,0.7,0.9,1.6,0.4,2.3,0.7,7,15.3,1.9,1.5,1.9
00AMGG,Hackney,Hackney Central,HackneyHackney Central,10291,5393,482,891,3179,346,3935,330,1128,196,97,70,119,335,154,318,84,1372,1460,347,127,219,52.4,4.7,8.7,30.9,3.4,38.2,3.2,11,1.9,0.9,0.7,1.2,3.3,1.5,3.1,0.8,13.3,14.2,3.4,1.2,2.1
00AMGH,Hackney,Hackney Downs,HackneyHackney Downs,10276,5267,464,1314,3002,229,3895,312,1060,145,96,94,129,705,185,343,81,1506,1215,281,88,141,51.3,4.5,12.8,29.2,2.2,37.9,3,10.3,1.4,0.9,0.9,1.3,6.9,1.8,3.3,0.8,14.7,11.8,2.7,0.9,1.4
