Ward Code,Borough,Ward,b_w,All people,White,Mixed,Asian,Black,Chinese/Other,White British,White Irish,White Other White,Mixed White and Black Caribbean,Mixed White and Black African,Mixed White and Asian,Mixed Other Mixed,Asian or Asian British Indian,Asian or Asian British Pakistani,Asian or Asian British Bangladeshi,Asian or Asian British Other Asian,Black or Black British Black Caribbean,Black or Black British Black African,Black or Black British Other Black,Chinese or other ethnic group Chinese,Chinese or other ethnic group Other Ethnic Group,% White,% Mixed,% Asian,% Black,% Chinese/Other,% White British,% White Irish,% White Other White,% Mixed White and Black Caribbean,% Mixed White and Black African,% Mixed White and Asian,% Mixed Other Mixed,% Asian or Asian British Indian,% Asian or Asian British Pakistani,% Asian or Asian British Bangladeshi,% Asian or Asian British Other Asian,% Black or Black British Black Caribbean,% Black or Black British Black African,% Black or Black British Other Black,% Chinese or other ethnic group Chinese,% Chinese or other ethnic group Other Ethnic Group
00ATGB,Hounslow,Chiswick Riverside,HounslowChiswick Riverside,10935,9202,392,606,384,351,7373,388,1441,60,37,149,146,284,140,52,130,134,231,19,106,245,84.2,3.6,5.5,3.5,3.2,67.4,3.5,13.2,0.5,0.3,1.4,1.3,2.6,1.3,0.5,1.2,1.2,2.1,0.2,1,2.2
00ATGC,Hounslow,Cranford,HounslowCranford,10936,4093,312,5478,686,367,3400,186,507,48,50,153,61,3956,1031,54,437,126,522,38,44,323,37.4,2.9,50.1,6.3,3.4,31.1,1.7,4.6,0.4,0.5,1.4,0.6,36.2,9.4,0.5,4,1.2,4.8,0.3,0.4,3
00ATGD,Hounslow,Feltham North,HounslowFeltham North,9570,7777,232,1116,264,181,7225,211,341,56,35,79,62,721,224,26,145,103,140,21,57,124,81.3,2.4,11.7,2.8,1.9,75.5,2.2,3.6,0.6,0.4,0.8,0.6,7.5,2.3,0.3,1.5,1.1,1.5,0.2,0.6,1.3
00ATGE,Hounslow,Feltham West,HounslowFeltham West,11530,9862,325,695,415,233,9290,242,330,84,36,123,82,365,165,15,150,135,254,26,68,165,85.5,2.8,6,3.6,2,80.6,2.1,2.9,0.7,0.3,1.1,0.7,3.2,1.4,0.1,1.3,1.2,2.2,0.2,0.6,1.4
00ATGF,Hounslow,Hanworth,HounslowHanworth,10995,9158,274,850,400,313,8553,201,404,86,32,81,75,488,144,76,142,128,233,39,54,259,83.3,2.5,7.7,3.6,2.8,77.8,1.8,3.7,0.8,0.3,0.7,0.7,4.4,1.3,0.7,1.3,1.2,2.1,0.4,0.5,2.4
00ATGG,Hounslow,Hanworth Park,HounslowHanworth Park,10396,8908,235,813,258,182,8342,212,354,71,36,83,45,510,173,43,87,101,136,21,53,129,85.7,2.3,7.8,2.5,1.8,80.2,2,3.4,0.7,0.3,0.8,0.4,4.9,1.7,0.4,0.8,1,1.3,0.2,0.5,1.2
00ATGH,Hounslow,Heston Central,HounslowHeston Central,10998,3989,375,5762,497,375,3268,268,453,48,66,175,86,4097,1095,62,508,155,301,41,106,269,36.3,3.4,52.4,4.5,3.4,29.7,2.4,4.1,0.4,0.6,1.6,0.8,37.3,10,0.6,4.6,1.4,2.7,0.4,1,2.4
00ATGJ,Hounslow,Heston East,HounslowHeston East,10781,3821,349,5829,454,328,3044,279,498,45,53,137,114,4505,813,57,454,116,305,33,72,256,35.4,3.2,54.1,4.2,3,28.2,2.6,4.6,0.4,0.5,1.3,1.1,41.8,7.5,0.5,4.2,1.1,2.8,0.3,0.7,2.4
00ATGK,Hounslow,Heston West,HounslowHeston West,11332,4355,363,5608,660,346,3733,224,398,70,48,141,104,3929,1091,76,512,137,483,40,53,293,38.4,3.2,49.5,5.8,3.1,32.9,2,3.5,0.6,0.4,1.2,0.9,34.7,9.6,0.7,4.5,1.2,4.3,0.4,0.5,2.6
00ATGL,Hounslow,Hounslow Central,HounslowHounslow Central,10791,4945,342,4490,471,543,3969,269,707,61,29,150,102,3225,706,112,447,141,302,28,130,413,45.8,3.2,41.6,4.4,5,36.8,2.5,6.6,0.6,0.3,1.4,0.9,29.9,6.5,1,4.1,1.3,2.8,0.3,1.2,3.8
00ATGM,Hounslow,Hounslow Heath,HounslowHounslow Heath,11115,4454,358,5254,620,429,3615,252,587,79,42,135,102,3589,1084,75,506,171,420,29,129,300,40.1,3.2,47.3,5.6,3.9,32.5,2.3,5.3,0.7,0.4,1.2,0.9,32.3,9.8,0.7,4.6,1.5,3.8,0.3,1.2,2.7
00ATGN,Hounslow,Hounslow South,HounslowHounslow South,10369,7022,294,2473,313,267,6228,384,410,55,23,138,78,1852,254,36,331,135,155,23,164,103,67.7,2.8,23.8,3,2.6,60.1,3.7,4,0.5,0.2,1.3,0.8,17.9,2.4,0.3,3.2,1.3,1.5,0.2,1.6,1
00ATGP,Hounslow,Hounslow West,HounslowHounslow West,10356,3808,297,5441,447,363,3107,223,478,56,33,126,82,4054,809,66,512,138,275,34,80,283,36.8,2.9,52.5,4.3,3.5,30,2.2,4.6,0.5,0.3,1.2,0.8,39.1,7.8,0.6,4.9,1.3,2.7,0.3,0.8,2.7
00ATGQ,Hounslow,Isleworth,HounslowIsleworth,10745,8098,392,1197,693,365,7092,364,642,99,72,97,124,650,269,91,187,159,469,65,111,254,75.4,3.6,11.1,6.4,3.4,66,3.4,6,0.9,0.7,0.9,1.2,6,2.5,0.8,1.7,1.5,4.4,0.6,1,2.4
00ATGR,Hounslow,Osterley and Spring Grove,HounslowOsterley and Spring Grove,10452,6564,317,2994,248,329,5457,404,703,43,26,158,90,2245,392,81,276,92,135,21,117,212,62.8,3,28.6,2.4,3.1,52.2,3.9,6.7,0.4,0.2,1.5,0.9,21.5,3.8,0.8,2.6,0.9,1.3,0.2,1.1,2
00ATGS,Hounslow,Syon,HounslowSyon,9717,7628,344,919,577,249,6633,431,564,102,61,97,84,497,178,73,171,194,333,50,62,187,78.5,3.5,9.5,5.9,2.6,68.3,4.4,5.8,1,0.6,1,0.9,5.1,1.8,0.8,1.8,2,3.4,0.5,0.6,1.9
00ATGT,Hounslow,Turnham Green,HounslowTurnham Green,10184,8622,316,501,369,376,6493,471,1658,65,39,101,111,284,83,29,105,164,165,40,167,209,84.7,3.1,4.9,3.6,3.7,63.8,4.6,16.3,0.6,0.4,1,1.1,2.8,0.8,0.3,1,1.6,1.6,0.4,1.6,2.1
00AUFX,Islington,Barnsbury,IslingtonBarnsbury,10274,8054,337,600,922,361,6342,436,1276,101,67,71,98,140,52,335,73,366,456,100,188,173,78.4,3.3,5.8,9,3.5,61.7,4.2,12.4,1,0.7,0.7,1,1.4,0.5,3.3,0.7,3.6,4.4,1,1.8,1.7
00AUFY,Islington,Bunhill,IslingtonBunhill,10055,7652,375,636,1022,370,5991,421,1240,112,64,78,121,194,59,290,93,240,701,81,193,177,76.1,3.7,6.3,10.2,3.7,59.6,4.2,12.3,1.1,0.6,0.8,1.2,1.9,0.6,2.9,0.9,2.4,7,0.8,1.9,1.8
00AUFZ,Islington,Caledonian,IslingtonCaledonian,11566,8304,387,853,1430,592,6416,589,1299,122,59,60,146,160,55,558,80,585,753,92,439,153,71.8,3.3,7.4,12.4,5.1,55.5,5.1,11.2,1.1,0.5,0.5,1.3,1.4,0.5,4.8,0.7,5.1,6.5,0.8,3.8,1.3
00AUGA,Islington,Canonbury,IslingtonCanonbury,9899,7984,351,251,1100,213,6437,490,1057,128,59,62,102,81,11,85,74,377,625,98,103,110,80.7,3.5,2.5,11.1,2.2,65,4.9,10.7,1.3,0.6,0.6,1,0.8,0.1,0.9,0.7,3.8,6.3,1,1,1.1
00AUGB,Islington,Clerkenwell,IslingtonClerkenwell,9773,7700,326,536,817,394,5906,408,1386,86,57,93,90,189,59,205,83,256,508,53,210,184,78.8,3.3,5.5,8.4,4,60.4,4.2,14.2,0.9,0.6,1,0.9,1.9,0.6,2.1,0.8,2.6,5.2,0.5,2.1,1.9
00AUGC,Islington,Finsbury Park,IslingtonFinsbury Park,12448,8239,596,879,2211,523,5492,789,1958,187,104,153,152,262,124,358,135,933,1117,161,277,246,66.2,4.8,7.1,17.8,4.2,44.1,6.3,15.7,1.5,0.8,1.2,1.2,2.1,1,2.9,1.1,7.5,9,1.3,2.2,2
00AUGD,Islington,Highbury East,IslingtonHighbury East,10278,8281,373,484,924,216,6444,530,1307,82,72,101,118,169,51,168,96,420,399,105,84,132,80.6,3.6,4.7,9,2.1,62.7,5.2,12.7,0.8,0.7,1,1.1,1.6,0.5,1.6,0.9,4.1,3.9,1,0.8,1.3
00AUGE,Islington,Highbury West,IslingtonHighbury West,11681,8441,479,899,1435,427,6233,677,1531,133,86,102,158,184,115,474,126,644,652,139,240,187,72.3,4.1,7.7,12.3,3.7,53.4,5.8,13.1,1.1,0.7,0.9,1.4,1.6,1,4.1,1.1,5.5,5.6,1.2,2.1,1.6
00AUGF,Islington,Hillrise,IslingtonHillrise,11382,8417,621,545,1548,251,6087,857,1473,275,104,71,171,200,53,183,109,734,667,147,112,139,74,5.5,4.8,13.6,2.2,53.5,7.5,12.9,2.4,0.9,0.6,1.5,1.8,0.5,1.6,1,6.4,5.9,1.3,1,1.2
00AUGG,Islington,Holloway,IslingtonHolloway,11214,8378,457,553,1349,477,6148,689,1541,150,76,89,142,204,59,189,101,522,714,113,264,213,74.7,4.1,4.9,12,4.3,54.8,6.1,13.7,1.3,0.7,0.8,1.3,1.8,0.5,1.7,0.9,4.7,6.4,1,2.4,1.9
00AUGH,Islington,Junction,IslingtonJunction,10816,8362,446,460,1198,350,6056,995,1311,147,87,111,101,201,65,114,80,514,600,84,169,181,77.3,4.1,4.3,11.1,3.2,56,9.2,12.1,1.4,0.8,1,0.9,1.9,0.6,1.1,0.7,4.8,5.5,0.8,1.6,1.7
00AUGJ,Islington,Mildmay,IslingtonMildmay,11339,8309,585,554,1619,272,6338,494,1477,222,79,105,179,139,36,290,89,621,848,150,124,148,73.3,5.2,4.9,14.3,2.4,55.9,4.4,13,2,0.7,0.9,1.6,1.2,0.3,2.6,0.8,5.5,7.5,1.3,1.1,1.3
00AUGK,Islington,St George`s,IslingtonSt George`s,11178,8622,457,418,1345,336,6392,778,1452,135,72,129,121,135,28,157,98,588,625,132,148,188,77.1,4.1,3.7,12,3,57.2,7,13,1.2,0.6,1.2,1.1,1.2,0.3,1.4,0.9,5.3,5.6,1.2,1.3,1.7
00AUGM,Islington,St Peter`s,IslingtonSt Peter`s,10933,8866,339,439,959,330,7006,515,1345,94,70,77,98,177,35,182,45,374,517,68,153,177,81.1,3.1,4,8.8,3,64.1,4.7,12.3,0.9,0.6,0.7,0.9,1.6,0.3,1.7,0.4,3.4,4.7,0.6,1.4,1.6
00AUGN,Islington,Tollington,IslingtonTollington,12462,8579,692,809,2029,353,5991,913,1675,226,132,145,189,252,68,395,94,1002,852,175,188,165,68.8,5.6,6.5,16.3,2.8,48.1,7.3,13.4,1.8,1.1,1.2,1.5,2,0.5,3.2,0.8,8,6.8,1.4,1.5,1.3
00AWFY,Kensington and Chelsea,Abingdon,Kensington and ChelseaAbingdon,9053,7049,359,528,537,580,4161,254,2634,25,40,142,152,199,102,51,176,206,306,25,231,349,77.9,4,5.8,5.9,6.4,46,2.8,29.1,0.3,0.4,1.6,1.7,2.2,1.1,0.6,1.9,2.3,3.4,0.3,2.6,3.9
00AWFZ,Kensington and Chelsea,Brompton,Kensington and ChelseaBrompton,9313,7922,273,403,188,527,4449,225,3248,23,31,106,113,164,98,32,109,53,120,15,147,380,85.1,2.9,4.3,2,5.7,47.8,2.4,34.9,0.2,0.3,1.1,1.2,1.8,1.1,0.3,1.2,0.6,1.3,0.2,1.6,4.1
00AWGA,Kensington and Chelsea,Campden,Kensington and ChelseaCampden,8173,6944,238,393,177,421,4145,198,2601,22,30,89,97,217,56,7,113,46,114,17,165,256,85,2.9,4.8,2.2,5.2,50.7,2.4,31.8,0.3,0.4,1.1,1.2,2.7,0.7,0.1,1.4,0.6,1.4,0.2,2,3.1
00AWGB,Kensington and Chelsea,Colville,Kensington and ChelseaColville,7909,5540,503,341,1170,355,3889,375,1276,165,94,105,139,116,31,70,124,611,432,127,73,282,70,6.4,4.3,14.8,4.5,49.2,4.7,16.1,2.1,1.2,1.3,1.8,1.5,0.4,0.9,1.6,7.7,5.5,1.6,0.9,3.6
00AWGC,Kensington and Chelsea,Courtfield,Kensington and ChelseaCourtfield,9578,7888,292,532,254,612,4240,191,3457,33,29,109,121,326,87,31,88,60,173,21,314,298,82.4,3,5.6,2.7,6.4,44.3,2,36.1,0.3,0.3,1.1,1.3,3.4,0.9,0.3,0.9,0.6,1.8,0.2,3.3,3.1
00AWGD,Kensington and Chelsea,Cremorne,Kensington and ChelseaCremorne,9290,7106,458,547,693,486,5015,356,1735,89,74,123,172,139,63,173,172,166,475,52,107,379,76.5,4.9,5.9,7.5,5.2,54,3.8,18.7,1,0.8,1.3,1.9,1.5,0.7,1.9,1.9,1.8,5.1,0.6,1.2,4.1
00AWGE,Kensington and Chelsea,Earl`s Court,Kensington and ChelseaEarl`s Court,9659,7267,487,666,489,750,4213,358,2696,53,81,178,175,263,160,68,175,134,318,37,277,473,75.2,5,6.9,5.1,7.8,43.6,3.7,27.9,0.5,0.8,1.8,1.8,2.7,1.7,0.7,1.8,1.4,3.3,0.4,2.9,4.9
00AWGF,Kensington and Chelsea,Golborne,Kensington and ChelseaGolborne,8849,4957,606,560,2104,622,3299,397,1261,177,185,83,161,102,107,217,134,846,1045,213,33,589,56,6.8,6.3,23.8,7,37.3,4.5,14.3,2,2.1,0.9,1.8,1.2,1.2,2.5,1.5,9.6,11.8,2.4,0.4,6.7
00AWGG,Kensington and Chelsea,Hans Town,Kensington and ChelseaHans Town,9335,7900,278,441,211,505,4982,270,2648,33,44,96,105,199,84,49,109,59,125,27,157,348,84.6,3,4.7,2.3,5.4,53.4,2.9,28.4,0.4,0.5,1,1.1,2.1,0.9,0.5,1.2,0.6,1.3,0.3,1.7,3.7
00AWGH,Kensington and Chelsea,Holland,Kensington and ChelseaHolland,9372,7353,339,634,504,542,4345,209,2799,31,38,129,141,313,74,43,204,117,340,47,153,389,78.5,3.6,6.8,5.4,5.8,46.4,2.2,29.9,0.3,0.4,1.4,1.5,3.3,0.8,0.5,2.2,1.2,3.6,0.5,1.6,4.2
00AWGJ,Kensington and Chelsea,Norland,Kensington and ChelseaNorland,8778,7204,330,256,712,276,5496,326,1382,83,47,89,111,105,36,42,73,289,362,61,52,224,82.1,3.8,2.9,8.1,3.1,62.6,3.7,15.7,0.9,0.5,1,1.3,1.2,0.4,0.5,0.8,3.3,4.1,0.7,0.6,2.6
00AWGK,Kensington and Chelsea,Notting Barns,Kensington and ChelseaNotting Barns,9000,5857,521,491,1546,585,4191,383,1283,156,90,100,175,142,45,136,168,663,744,139,76,509,65.1,5.8,5.5,17.2,6.5,46.6,4.3,14.3,1.7,1,1.1,1.9,1.6,0.5,1.5,1.9,7.4,8.3,1.5,0.8,5.7
00AWGL,Kensington and Chelsea,Pembridge,Kensington and ChelseaPembridge,8116,6694,328,309,425,360,4341,223,2130,57,53,82,136,162,24,32,91,133,265,27,136,224,82.5,4,3.8,5.2,4.4,53.5,2.7,26.2,0.7,0.7,1,1.7,2,0.3,0.4,1.1,1.6,3.3,0.3,1.7,2.8
00AWGM,Kensington and Chelsea,Queen`s Gate,Kensington and ChelseaQueen`s Gate,9668,7813,315,604,137,799,3978,237,3598,22,34,133,126,324,93,38,149,28,104,5,368,431,80.8,3.3,6.2,1.4,8.3,41.1,2.5,37.2,0.2,0.4,1.4,1.3,3.4,1,0.4,1.5,0.3,1.1,0.1,3.8,4.5
00AWGN,Kensington and Chelsea,Redcliffe,Kensington and ChelseaRedcliffe,8625,7467,260,330,244,324,4795,235,2437,41,47,68,104,183,50,23,74,65,160,19,71,253,86.6,3,3.8,2.8,3.8,55.6,2.7,28.3,0.5,0.5,0.8,1.2,2.1,0.6,0.3,0.9,0.8,1.9,0.2,0.8,2.9
00AWGP,Kensington and Chelsea,Royal Hospital,Kensington and ChelseaRoyal Hospital,7662,6879,188,174,149,272,4742,262,1875,30,20,71,67,83,30,24,37,42,92,15,75,197,89.8,2.5,2.3,1.9,3.5,61.9,3.4,24.5,0.4,0.3,0.9,0.9,1.1,0.4,0.3,0.5,0.5,1.2,0.2,1,2.6
00AWGQ,Kensington and Chelsea,St Charles,Kensington and ChelseaSt Charles,9010,6321,559,346,1358,426,4778,446,1097,227,109,83,140,104,46,95,101,520,726,112,100,326,70.2,6.2,3.8,15.1,4.7,53,5,12.2,2.5,1.2,0.9,1.6,1.2,0.5,1.1,1.1,5.8,8.1,1.2,1.1,3.6
00AWGR,Kensington and Chelsea,Stanley,Kensington and ChelseaStanley,7529,6763,171,182,183,230,4535,238,1990,23,11,77,60,85,17,17,63,63,112,8,57,173,89.8,2.3,2.4,2.4,3.1,60.2,3.2,26.4,0.3,0.1,1,0.8,1.1,0.2,0.2,0.8,0.8,1.5,0.1,0.8,2.3
00AXFY,Kingston upon Thames,Berrylands,Kingston upon ThamesBerrylands,9278,8210,208,468,127,265,7401,197,612,22,29,88,69,316,47,8,97,45,73,9,101,164,88.5,2.2,5,1.4,2.9,79.8,2.1,6.6,0.2,0.3,0.9,0.7,3.4,0.5,0.1,1,0.5,0.8,0.1,1.1,1.8
00AXFZ,Kingston upon Thames,Beverley,Kingston upon ThamesBeverley,9488,7675,244,763,162,644,6933,227,515,36,33,130,45,297,132,23,311,59,96,7,164,480,80.9,2.6,8,1.7,6.8,73.1,2.4,5.4,0.4,0.3,1.4,0.5,3.1,1.4,0.2,3.3,0.6,1,0.1,1.7,5.1
00AXGA,Kingston upon Thames,Canbury,Kingston upon ThamesCanbury,9604,8497,255,501,106,245,7467,214,816,49,49,87,70,262,88,20,131,41,62,3,98,147,88.5,2.7,5.2,1.1,2.6,77.7,2.2,8.5,0.5,0.5,0.9,0.7,2.7,0.9,0.2,1.4,0.4,0.6,0,1,1.5
00AXGB,Kingston upon Thames,Chessington North and Hook,Kingston upon ThamesChessington North and Hook,8720,8093,139,275,86,127,7731,141,221,34,19,57,29,101,45,20,109,34,52,0,56,71,92.8,1.6,3.2,1,1.5,88.7,1.6,2.5,0.4,0.2,0.7,0.3,1.2,0.5,0.2,1.3,0.4,0.6,0,0.6,0.8
00AXGC,Kingston upon Thames,Chessington South,Kingston upon ThamesChessington South,9488,8864,131,212,102,179,8463,153,248,27,14,55,35,85,24,22,81,39,60,3,73,106,93.4,1.4,2.2,1.1,1.9,89.2,1.6,2.6,0.3,0.1,0.6,0.4,0.9,0.3,0.2,0.9,0.4,0.6,0,0.8,1.1
00AXGD,Kingston upon Thames,Coombe Hill,Kingston upon ThamesCoombe Hill,10318,7760,344,1216,266,732,6156,208,1396,54,37,150,103,573,231,45,367,81,169,16,208,524,75.2,3.3,11.8,2.6,7.1,59.7,2,13.5,0.5,0.4,1.5,1,5.6,2.2,0.4,3.6,0.8,1.6,0.2,2,5.1
00AXGE,Kingston upon Thames,Coombe Vale,Kingston upon ThamesCoombe Vale,9271,7328,258,1044,144,497,6507,215,606,31,20,79,128,512,147,26,359,41,92,11,110,387,79,2.8,11.3,1.6,5.4,70.2,2.3,6.5,0.3,0.2,0.9,1.4,5.5,1.6,0.3,3.9,0.4,1,0.1,1.2,4.2
00AXGF,Kingston upon Thames,Grove,Kingston upon ThamesGrove,7864,7001,180,383,92,208,6092,213,696,31,31,73,45,213,56,24,90,47,39,6,119,89,89,2.3,4.9,1.2,2.6,77.5,2.7,8.9,0.4,0.4,0.9,0.6,2.7,0.7,0.3,1.1,0.6,0.5,0.1,1.5,1.1
00AXGG,Kingston upon Thames,Norbiton,Kingston upon ThamesNorbiton,8844,7134,229,805,269,407,6380,232,522,63,32,68,66,347,155,67,236,72,175,22,150,257,80.7,2.6,9.1,3,4.6,72.1,2.6,5.9,0.7,0.4,0.8,0.7,3.9,1.8,0.8,2.7,0.8,2,0.2,1.7,2.9
00AXGH,Kingston upon Thames,Old Malden,Kingston upon ThamesOld Malden,9012,7387,156,965,104,400,6908,163,316,23,17,85,31,370,252,23,320,33,68,3,104,296,82,1.7,10.7,1.2,4.4,76.7,1.8,3.5,0.3,0.2,0.9,0.3,4.1,2.8,0.3,3.6,0.4,0.8,0,1.2,3.3
00AXGJ,Kingston upon Thames,St James,Kingston upon ThamesSt James,8571,6412,173,1333,115,538,5881,179,352,24,8,97,44,436,224,16,657,44,68,3,104,434,74.8,2,15.6,1.3,6.3,68.6,2.1,4.1,0.3,0.1,1.1,0.5,5.1,2.6,0.2,7.7,0.5,0.8,0,1.2,5.1
00AXGK,Kingston upon Thames,St Mark`s,Kingston upon ThamesSt Mark`s,9644,8069,226,786,212,351,6878,235,956,34,33,92,67,496,149,19,122,51,156,5,187,164,83.7,2.3,8.2,2.2,3.6,71.3,2.4,9.9,0.4,0.3,1,0.7,5.1,1.5,0.2,1.3,0.5,1.6,0.1,1.9,1.7
00AXGL,Kingston upon Thames,Surbiton Hill,Kingston upon ThamesSurbiton Hill,10191,8929,195,610,163,294,8014,198,717,31,20,86,58,353,76,11,170,32,122,9,113,181,87.6,1.9,6,1.6,2.9,78.6,1.9,7,0.3,0.2,0.8,0.6,3.5,0.7,0.1,1.7,0.3,1.2,0.1,1.1,1.8
00AXGM,Kingston upon Thames,Tolworth and Hook Rise,Kingston upon ThamesTolworth and Hook Rise,9531,8016,194,866,164,291,7451,213,352,48,21,77,48,437,109,20,300,60,87,17,148,143,84.1,2,9.1,1.7,3.1,78.2,2.2,3.7,0.5,0.2,0.8,0.5,4.6,1.1,0.2,3.1,0.6,0.9,0.2,1.6,1.5
00AXGN,Kingston upon Thames,Tudor,Kingston upon ThamesTudor,8403,7500,212,356,77,258,6608,204,688,37,14,93,68,204,52,19,81,34,39,4,152,106,89.3,2.5,4.2,0.9,3.1,78.6,2.4,8.2,0.4,0.2,1.1,0.8,2.4,0.6,0.2,1,0.4,0.5,0,1.8,1.3
00AYFZ,Lambeth,Bishop`s,LambethBishop`s,9194,6039,361,486,1860,448,4737,299,1003,131,58,69,103,236,51,117,82,693,1050,117,208,240,65.7,3.9,5.3,20.2,4.9,51.5,3.3,10.9,1.4,0.6,0.8,1.1,2.6,0.6,1.3,0.9,7.5,11.4,1.3,2.3,2.6
00AYGA,Lambeth,Brixton Hill,LambethBrixton Hill,12458,8020,695,348,3236,159,6394,446,1180,321,98,118,158,146,56,58,88,1715,1212,309,49,110,64.4,5.6,2.8,26,1.3,51.3,3.6,9.5,2.6,0.8,0.9,1.3,1.2,0.4,0.5,0.7,13.8,9.7,2.5,0.4,0.9
00AYGB,Lambeth,Clapham Common,LambethClapham Common,12270,9434,420,503,1695,218,7735,422,1277,126,78,118,98,175,92,155,81,826,748,121,117,101,76.9,3.4,4.1,13.8,1.8,63,3.4,10.4,1,0.6,1,0.8,1.4,0.7,1.3,0.7,6.7,6.1,1,1,0.8
00AYGC,Lambeth,Clapham Town,LambethClapham Town,13332,9474,565,364,2648,281,7630,500,1344,227,85,104,149,138,42,82,102,1245,1175,228,127,154,71.1,4.2,2.7,19.9,2.1,57.2,3.8,10.1,1.7,0.6,0.8,1.1,1,0.3,0.6,0.8,9.3,8.8,1.7,1,1.2
00AYGD,Lambeth,Coldharbour,LambethColdharbour,14376,6307,811,521,6363,374,4757,392,1158,366,169,81,195,171,74,214,62,3029,2792,542,201,173,43.9,5.6,3.6,44.3,2.6,33.1,2.7,8.1,2.5,1.2,0.6,1.4,1.2,0.5,1.5,0.4,21.1,19.4,3.8,1.4,1.2
00AYGE,Lambeth,Ferndale,LambethFerndale,12898,7552,601,396,3944,405,5627,379,1546,262,103,82,154,130,83,87,96,1945,1692,307,256,149,58.6,4.7,3.1,30.6,3.1,43.6,2.9,12,2,0.8,0.6,1.2,1,0.6,0.7,0.7,15.1,13.1,2.4,2,1.2
00AYGF,Lambeth,Gipsy Hill,LambethGipsy Hill,13601,8777,752,451,3417,204,7416,480,881,419,94,94,145,249,80,56,66,1965,1116,336,103,101,64.5,5.5,3.3,25.1,1.5,54.5,3.5,6.5,3.1,0.7,0.7,1.1,1.8,0.6,0.4,0.5,14.4,8.2,2.5,0.8,0.7
00AYGG,Lambeth,Herne Hill,LambethHerne Hill,11805,7651,600,368,2894,292,6243,330,1078,259,98,113,130,164,58,74,72,1568,1062,264,161,131,64.8,5.1,3.1,24.5,2.5,52.9,2.8,9.1,2.2,0.8,1,1.1,1.4,0.5,0.6,0.6,13.3,9,2.2,1.4,1.1
00AYGH,Lambeth,Knight`s Hill,LambethKnight`s Hill,13687,8608,832,656,3366,225,6978,501,1129,393,141,98,200,344,126,56,130,1850,1204,312,100,125,62.9,6.1,4.8,24.6,1.6,51,3.7,8.2,2.9,1,0.7,1.5,2.5,0.9,0.4,0.9,13.5,8.8,2.3,0.7,0.9
00AYGJ,Lambeth,Larkhall,LambethLarkhall,13906,7961,674,472,4300,499,6034,453,1474,254,121,125,174,132,80,149,111,1714,2269,317,309,190,57.2,4.8,3.4,30.9,3.6,43.4,3.3,10.6,1.8,0.9,0.9,1.3,0.9,0.6,1.1,0.8,12.3,16.3,2.3,2.2,1.4
00AYGK,Lambeth,Oval,LambethOval,11983,8211,514,314,2580,364,6064,465,1682,157,125,80,152,105,29,116,64,924,1476,180,195,169,68.5,4.3,2.6,21.5,3,50.6,3.9,14,1.3,1,0.7,1.3,0.9,0.2,1,0.5,7.7,12.3,1.5,1.6,1.4
00AYGL,Lambeth,Prince`s,LambethPrince`s,11636,7250,451,318,3316,301,5784,419,1047,189,82,59,121,116,15,123,64,1085,2019,212,166,135,62.3,3.9,2.7,28.5,2.6,49.7,3.6,9,1.6,0.7,0.5,1,1,0.1,1.1,0.6,9.3,17.4,1.8,1.4,1.2
00AYGM,Lambeth,St Leonard`s,LambethSt Leonard`s,12215,8264,568,1171,1995,217,6692,394,1178,175,101,138,154,524,405,54,188,1032,810,153,106,111,67.7,4.7,9.6,16.3,1.8,54.8,3.2,9.6,1.4,0.8,1.1,1.3,4.3,3.3,0.4,1.5,8.4,6.6,1.3,0.9,0.9
00AYGN,Lambeth,Stockwell,LambethStockwell,13416,7675,600,325,4369,447,5684,383,1608,223,124,79,174,124,41,90,70,1370,2677,322,234,213,57.2,4.5,2.4,32.6,3.3,42.4,2.9,12,1.7,0.9,0.6,1.3,0.9,0.3,0.7,0.5,10.2,20,2.4,1.7,1.6
00AYGP,Lambeth,Streatham Hill,LambethStreatham Hill,13359,9033,687,593,2766,280,7248,444,1341,297,88,130,172,205,212,104,72,1400,1119,247,143,137,67.6,5.1,4.4,20.7,2.1,54.3,3.3,10,2.2,0.7,1,1.3,1.5,1.6,0.8,0.5,10.5,8.4,1.8,1.1,1
00AYGQ,Lambeth,Streatham South,LambethStreatham South,13449,7060,652,2162,3276,299,5829,407,824,270,87,137,158,1259,523,102,278,1822,1203,251,131,168,52.5,4.8,16.1,24.4,2.2,43.3,3,6.1,2,0.6,1,1.2,9.4,3.9,0.8,2.1,13.5,8.9,1.9,1,1.2
00AYGR,Lambeth,Streatham Wells,LambethStreatham Wells,12746,8128,682,940,2606,390,6632,409,1087,268,115,131,168,470,249,108,113,1346,1077,183,234,156,63.8,5.4,7.4,20.4,3.1,52,3.2,8.5,2.1,0.9,1,1.3,3.7,2,0.8,0.9,10.6,8.4,1.4,1.8,1.2
00AYGS,Lambeth,Thornton,LambethThornton,12589,8237,512,620,2990,230,6654,433,1150,195,86,85,146,225,201,120,74,1311,1463,216,130,100,65.4,4.1,4.9,23.8,1.8,52.9,3.4,9.1,1.5,0.7,0.7,1.2,1.8,1.6,1,0.6,10.4,11.6,1.7,1,0.8
